V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,LocationLatitude,LocationLongitude,LocationAccuracy,LastActivity,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Code,"This survey is about your experience during Hurricane Harvey, which affected the U.S. in August 2...","While you were deciding whether to evacuate or stay at home, what was your assessment of the foll...-The risk of staying at home","While you were deciding whether to evacuate or stay at home, what was your assessment of the foll...-The risk of evacuating","While you were deciding whether to evacuate or stay at home, what was your assessment of the foll...-Wind might threaten my personal or my family's safety","While you were deciding whether to evacuate or stay at home, what was your assessment of the foll...-Wind might damage my home or possessions","While you were deciding whether to evacuate or stay at home, what was your assessment of the foll...-Flood might threaten my personal or my family's safety","While you were deciding whether to evacuate or stay at home, what was your assessment of the foll...-Flood might damage my home or possessions","Before the hurricane hitting your area, did you get any information about it from watching TV or...","How much did you see or hear the information below from TV and Radio?-Damage already caused by this storm (e.g. damaged buildings, power outage)",How much did you see or hear the information below from TV and Radio?-Human casualities,How much did you see or hear the information below from TV and Radio?-Poor traffic and road conditions,"How much did you see or hear the information below from TV and Radio?-Preparations you needed to do (e.g. water, food, battery)",How much did you see or hear the information below from TV and Radio?-People were staying in their homes,How much did you see or hear the information below from TV and Radio?-People were leaving,"Before the hurricane hitting your area, did you get any information about it from social media?","How much did you see the information below from social media such as Facebook, Twitter, etc.?-Images/videos that showed damages already caused by the storm","How much did you see the information below from social media such as Facebook, Twitter, etc.?-Images/videos that showed the strength of the storm","How much did you see the information below from social media such as Facebook, Twitter, etc.?-People were making preparations","How much did you see the information below from social media such as Facebook, Twitter, etc.?-People were staying in their homes","How much did you see the information below from social media such as Facebook, Twitter, etc.?-People were leaving","How much did you see the information below from social media such as Facebook, Twitter, etc.?-Traffic and road condition",What were your family and friends mainly suggesting?,What were your neighbors mainly doing?,Please select the factors that made your evacuation difficult (check all that apply)-Having young children,Please select the factors that made your evacuation difficult (check all that apply)-Having elderly family member(s),Please select the factors that made your evacuation difficult (check all that apply)-Having family member(s) with special needs,Please select the factors that made your evacuation difficult (check all that apply)-Having pets,"Please select the factors that made your evacuation difficult (check all that apply)-Evacuation expense (travel, lodging, etc.)","Please select the factors that made your evacuation difficult (check all that apply)-No transportation (cars, flights, public transportation, etc)","Please select the factors that made your evacuation difficult (check all that apply)-No place to go (hotels, public shelters, friends' or family's places, etc.)",Please select the factors that made your evacuation difficult (check all that apply)-Job obligations,Please select the factors that made your evacuation difficult (check all that apply)-None,How old are you?,Please select the gender you identify with:,Please select the race or ethnic background that best describes you:,Please indicate your highest level of education:,Please select the option that best describes your or your family's total yearly household income:,"At the time of the hurricane, how many people were living in your household (including you)?",Were there children (0 to 17 years) in your household?,Were there elderly people (80 years or older) in your household?,Were there family member(s) with special needs in your household?,Were there pets in your household?,What was your zip code?,"At the time of the hurricane, how close was your home to the coast?",Which of the following types of structures were you living in?,What material was your home made of?,Did you own or rent the residence?,Did you have any insurance policy that would pay for the damages to your home or possessions?,What county were you living at?,Did you receive any evacuation notice from officials?,Was it mandatory that you must leave or recommended that you should leave?,How did you hear about the evacuation notice? (check all that apply)-Radio or TV,How did you hear about the evacuation notice? (check all that apply)-Social media or internet,How did you hear about the evacuation notice? (check all that apply)-Word of mouth (friends/relative/neighbor),How did you hear about the evacuation notice? (check all that apply)-Police/authorities came into the neighborhood,How did you hear about the evacuation notice? (check all that apply)-Text alerts  or phone calls from officials,How did you hear about the evacuation notice? (check all that apply)-Other,When did you first hear the evacuation notice?,Did officials suggest that people in your area should remain in your homes?,"Before or during Hurricane Harvey, did you evacuate?",On what date did you leave?,At what time did you leave?,Did you request emergency services at any of the following times?-Before the hurricane hitting your area,Did you request emergency services at any of the following times?-During the hurricane,Did you request emergency services at any of the following times?-After the hurricane hitting your area,"Reflection on your decision to evacuate or stay, would you make the same choice again?",Please enter your Worker ID here to get your completion code:,Here is your completion code: ${e://Field/Code},LocationLatitude,LocationLongitude,LocationAccuracy,LastActivity,
FS_Oewx1qoCGrIRShz,,Anonymous,,,209.169.90.144,0,2017-11-02 14:09:12,2017-11-02 14:12:43,0,,1,3,5,3,3,3,4,1,3,1,3,5,3,1,1,4,3,4,5,2,3,1,1,,,,,,,,,1,28,1,1,2,2,3,2,2,2,1,77306,10,1,1,1,2,Montgomery,2,,,,,,,,,1,2,,,,,,,,,,,-1,2017-11-02 14:12:43,
FS_0Ilb7gMXJFcmtBT,,Anonymous,,,12.18.78.114,0,2017-11-02 09:17:43,2017-11-02 09:18:31,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2017-11-02 09:18:31,
FS_p4wJbybFafWvIwp,,Anonymous,,,112.204.219.218,0,2017-11-01 19:13:14,2017-11-01 19:14:09,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2017-11-01 19:14:09,
FS_217Gkys6PPNJeCC,,Anonymous,,,162.196.79.153,0,2017-11-01 15:46:39,2017-11-01 15:47:31,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2017-11-01 15:47:31,
FS_s4IRWBaj4BAHmOl,,Anonymous,,,70.183.204.77,0,2017-11-01 11:00:51,2017-11-01 11:01:17,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2017-11-01 11:01:17,
FS_3qqIpcQeey2WueB,,Anonymous,,,76.85.3.127,0,2017-11-06 19:27:27,2017-11-06 19:29:43,0,,1,4,2,4,5,4,5,1,1,1,4,3,1,5,1,2,2,4,2,5,5,2,2,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2017-11-06 19:29:43,
FS_yL3YaKnB131sceJ,,Anonymous,,,24.155.152.253,0,2017-11-02 12:06:21,2017-11-02 12:12:19,0,,1,4,3,3,4,5,5,1,3,2,3,2,2,3,1,4,3,3,2,4,3,2,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2017-11-02 12:12:19,
FS_6xT7nToi6CO2LIt,,Anonymous,,,24.104.139.193,0,2017-11-05 22:38:05,2017-11-05 22:41:49,0,622265,1,3,4,2,2,3,2,1,2,3,3,3,2,2,2,,,,,,,1,2,,,,1,,,,,,24,2,2,3,3,4,2,2,2,1,75238,10,1,2,1,1,Dallas,2,,,,,,,,,2,1,3,2,,,,2,A3QZFP4ZF7GMS8,,,,-1,2017-11-05 22:41:49,
FS_8tUkPoQWw6EgLCx,,Anonymous,,,104.177.128.194,0,2017-11-05 17:24:04,2017-11-05 17:29:17,0,889036,1,3,2,3,5,2,4,1,5,3,5,2,2,2,1,5,5,2,2,3,5,1,1,,,,,1,,1,,,26,2,2,4,2,4,2,2,2,2,71202,10,1,1,1,2,United States,3,,,,,,,,,3,2,,,2,2,2,1,AVW1IWCBIBU2K,,,,-1,2017-11-05 17:29:17,
FS_1LpNz0CEPkjmdYC,,Anonymous,,,50.24.73.178,0,2017-11-04 22:15:14,2017-11-04 22:20:35,0,975101,1,3,3,2,1,4,3,1,2,2,3,2,2,2,1,4,4,3,3,3,4,3,1,,,,1,1,,,,,49,2,1,4,4,2,2,2,2,1,77803,8,3,2,2,1,Brazos,2,,,,,,,,,3,2,,,2,2,2,1,A1KSKBW4154ZOB,,,,-1,2017-11-04 22:20:35,
FS_25QTM2TCs1v8HMg,,Anonymous,,,72.176.3.25,0,2017-11-03 20:09:56,2017-11-05 18:43:41,0,189034,1,4,4,2,2,5,5,1,1,1,3,1,1,3,1,3,3,2,3,3,2,2,1,1,1,,1,,,1,,,25,1,1,4,3,4,1,1,2,1,77020,6,1,2,2,1,Harris,2,,,,,,,,,1,2,,,2,2,2,2,A2G5G1DIUCQ907,,,,-1,2017-11-05 18:43:41,
FS_2S0G52m4owKBCqv,,Anonymous,,,47.222.146.21,0,2017-11-02 11:58:20,2017-11-02 12:03:33,0,708025,1,3,3,3,4,1,1,1,5,1,5,5,5,5,1,5,5,5,5,3,5,2,3,1,,,1,1,,,1,,38,2,1,4,4,3,1,2,2,1,75964,10,1,1,1,1,Nacogdoches,2,,,,,,,,,1,2,,,2,2,2,1,A3PFNM2FDZ7KU4,,,,-1,2017-11-02 12:03:33,
FS_1iaKxdWvE1jHuHB,,Anonymous,,,172.125.31.168,0,2017-11-01 23:33:40,2017-11-01 23:48:10,0,644637,1,4,4,4,4,5,5,1,5,5,5,5,2,3,1,4,4,4,3,4,5,3,1,1,,1,,1,,,1,,45,2,2,3,4,5,1,2,1,2,77385,10,1,1,2,1,Montgomery,3,,,,,,,,,3,2,,,2,2,1,1,A1FRVRW93RB3OL,,,,-1,2017-11-01 23:48:10,
FS_3n1Vs72Yo4mYgA5,,Anonymous,,,173.174.143.7,0,2017-11-01 22:13:18,2017-11-01 22:23:12,0,139291,1,5,5,5,4,5,4,1,1,1,3,5,2,5,2,,,,,,,2,2,,1,,1,,,,,,31,1,1,3,4,3,2,1,2,1,78412,2,2,1,2,1,Nueces,3,,,,,,,,,2,1,3,4,,,,1,A388BHW36Q9HTF,,,,-1,2017-11-01 22:23:12,
FS_1nNFXgoC08pzaBJ,,Anonymous,,,73.155.103.189,0,2017-11-01 19:30:18,2017-11-01 19:32:48,0,329759,1,5,4,1,1,5,5,1,5,2,5,5,5,2,1,5,5,5,5,3,5,1,1,1,1,1,1,1,1,1,1,,32,1,1,5,4,1,2,2,2,2,77384,8,4,2,2,2,Montgomery,2,,,,,,,,,2,2,,,2,2,2,1,A1WX7K7PZA6Z2Z,,,,-1,2017-11-01 19:32:48,
FS_33kZiElZdeWjuxQ,,Anonymous,,,184.156.151.144,0,2017-11-01 17:02:34,2017-11-01 17:47:35,0,350841,1,3,2,3,2,4,4,1,5,4,5,5,1,3,1,4,4,5,5,4,4,2,1,,,,1,1,,,1,,31,1,1,4,4,3,2,2,2,1,70647,6,1,2,1,2,Jeff Davis Parish,2,,,,,,,,,1,2,,,2,2,2,1,A1245NICAEXRD4,,,,-1,2017-11-01 17:47:35,
FS_3qyQzd7ryu0Efia,,Anonymous,,,162.235.27.104,0,2017-11-01 16:25:14,2017-11-01 16:31:46,0,289626,1,2,3,1,2,3,5,1,3,2,5,4,4,2,1,4,5,1,1,2,5,1,1,1,,,1,1,,1,1,,23,2,6,4,3,5,1,2,2,1,70447,4,1,1,1,1,St Tammany,3,,,,,,,,,3,2,,,2,2,2,1,A1C61F4OHOV4PP,,,,-1,2017-11-01 16:31:46,
FS_1GUkcgrpTw4kBpE,,Anonymous,,,47.184.10.213,0,2017-11-01 14:19:11,2017-11-01 14:23:07,0,320615,1,1,3,1,1,1,1,1,2,1,3,1,3,2,1,4,4,3,2,3,4,1,1,,,,,,,,,1,33,2,1,5,5,3,1,2,2,2,75010,10,1,2,1,1,Denton,2,,,,,,,,,1,2,,,2,2,2,1,A21DJDOTHDLWND,,,,-1,2017-11-01 14:23:07,
FS_3h3VeAk5RMabrUy,,Anonymous,,,73.115.117.190,0,2017-11-01 13:00:56,2017-11-01 13:06:53,0,557907,1,3,4,4,4,3,3,1,2,3,3,3,3,3,1,3,4,3,3,3,4,1,1,1,,,,,,,,,29,2,3,5,2,4,1,2,2,2,77057,10,3,1,2,1,houston,2,,,,,,,,,1,2,,,1,1,1,1,ck.anil@gmail.com,,,,-1,2017-11-01 13:06:53,
FS_1mQmZutgbIxZWD9,,Anonymous,,,71.11.192.105,0,2017-11-01 08:28:28,2017-11-01 08:33:20,0,204265,1,3,3,3,3,3,3,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,,,1,1,,1,,,32,2,1,5,4,5,1,2,2,1,77581,6,1,2,1,2,Brazoria,3,,,,,,,,,3,2,,,2,2,2,1,AUX8W8TLT65Z6,,,,-1,2017-11-01 08:33:20,
FS_O1MQbcNYHZWyLst,,Anonymous,,,173.11.142.33,0,2017-11-01 08:25:08,2017-11-01 08:28:08,0,718198,1,1,1,1,1,5,5,1,5,5,5,5,5,5,1,3,1,1,1,1,1,1,1,1,,,,,,,,,40,1,1,4,5,5,1,2,2,2,77043,8,1,2,1,1,Harris,2,,,,,,,,,3,2,,,2,2,2,1,A1RY940OZBOXPR,,,,-1,2017-11-01 08:28:08,
FS_0UuSwWj41h6tYjL,,Anonymous,,,173.123.140.57,0,2017-10-31 20:33:36,2017-11-06 19:45:22,0,772473,1,5,5,5,5,5,5,1,5,5,5,5,2,2,1,5,5,5,4,4,5,2,3,,,1,,1,1,,,,66,2,2,5,3,2,2,2,1,2,77083,10,2,2,2,2,HARRIS,2,,,,,,,,,1,2,,,2,2,1,1,A167RF3PQS3IH9,,,,-1,2017-11-06 19:45:22,
FS_3hg0Eq0ReVns0Qd,,Anonymous,,,98.199.133.30,0,2017-11-03 10:04:04,2017-11-03 10:07:52,0,364333,1,3,4,3,2,4,4,1,3,1,3,1,3,1,1,5,4,3,4,2,3,3,1,1,,,1,,,,1,,32,2,1,4,5,4,1,2,2,1,77494,8,1,2,2,1,Fort Bend,2,,,,,,,,,3,2,,,2,2,2,1,A3DR7ZTIKT1KNB,,,,-1,2017-11-03 10:07:52,
FS_3IXLGavZqJ8QKaB,,Anonymous,,,172.58.4.47,0,2017-11-01 23:21:28,2017-11-01 23:33:29,0,413771,1,2,4,4,2,3,2,1,4,3,2,2,1,2,2,,,,,,,2,3,,,,,1,,,,,25,2,2,3,2,3,1,1,2,1,30349,2,1,2,2,1,Usa,2,,,,,,,,,2,2,,,1,1,2,1,,,,,-1,2017-11-01 23:33:29,
FS_2qDz537OMiUpQ33,,Anonymous,,,208.54.32.188,0,2017-11-01 20:50:19,2017-11-01 20:59:48,0,613758,1,5,3,5,5,5,5,1,2,2,2,2,1,5,2,,,,,,,2,2,1,,,1,1,,1,,,28,2,1,2,1,7,1,2,1,1,77003,4,1,2,2,1,Harris,3,,,,,,,,,3,1,1,1,,,,1,A1UOKIP0B8QSZ7,,,,-1,2017-11-01 20:59:48,
FS_uknjjAKMMCdRKlr,,Anonymous,,,99.44.138.3,0,2017-11-01 20:29:22,2017-11-01 20:37:19,0,454477,1,3,3,3,3,3,3,1,5,5,5,5,5,5,1,4,4,4,4,4,4,1,1,1,,,,,,,,,28,2,1,3,4,5,1,2,2,2,70374,8,1,2,1,1,Lafourche ,2,,,,,,,,,1,2,,,2,2,2,1,A1AWCF14O30UY9,,,,-1,2017-11-01 20:37:19,
FS_1ItnhiwB83uDzLl,,Anonymous,,,65.36.121.241,0,2017-11-05 22:14:40,2017-11-05 22:14:54,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2017-11-05 22:14:54,
FS_1kYyhWgdaeTfzuK,,Anonymous,,,75.1.179.206,0,2017-11-04 08:54:17,2017-11-04 08:54:40,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2017-11-04 08:54:40,
FS_Xn46J7b25XpNJId,,Anonymous,,,69.55.202.92,0,2017-11-02 05:52:44,2017-11-02 05:53:05,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2017-11-02 05:53:05,
FS_OASW4p2Ws3YQ7a9,,Anonymous,,,98.199.80.68,0,2017-11-06 19:48:09,2017-11-06 19:49:29,0,,1,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,4,4,4,4,4,1,1,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2017-11-06 19:49:29,
FS_AyyQtLJ1gLNOWOJ,,Anonymous,,,129.93.5.134,0,2017-11-06 11:50:51,2017-11-06 11:55:47,0,920558,1,3,3,4,3,4,4,1,1,1,3,3,1,2,1,2,2,3,2,2,3,1,2,,,,,1,,,,,18,1,4,2,1,7,1,2,2,2,77539,1,5,1,1,2,Galveston ,3,,,,,,,,,3,2,,,2,2,2,1,A279YMF6VJ7CCZ,,,,-1,2017-11-06 11:55:47,
FS_Z1yWqgFEw1bkTzb,,Anonymous,,,72.179.50.184,0,2017-11-05 12:16:53,2017-11-05 12:19:05,0,536775,1,2,1,3,3,3,3,1,2,4,1,1,2,2,1,3,3,2,2,2,3,3,3,,,,1,1,,1,1,,26,2,4,5,4,2,2,2,2,1,78666,10,3,2,2,2,Hays,2,,,,,,,,,1,2,,,2,2,2,1,A1R6ZQLX224IVE,,,,-1,2017-11-05 12:19:05,
FS_bx44k5qWexE7tWF,,Anonymous,,,73.232.157.143,0,2017-11-03 20:59:47,2017-11-03 21:09:09,0,992609,1,2,2,1,1,1,2,1,1,1,2,3,3,3,1,4,5,2,4,4,5,2,1,,,,,,,,,1,21,2,4,3,1,3,2,2,2,2,77004,8,3,2,2,2,Harris,2,,,,,,,,,1,2,,,2,2,2,2,A2AK31IWMSJZ3P,,,,-1,2017-11-03 21:09:09,
FS_2npY2rmjZ5kt7UJ,,Anonymous,,,198.62.219.10,0,2017-11-03 08:22:56,2017-11-03 08:26:41,0,606010,1,2,2,2,2,2,2,1,5,1,5,2,3,3,1,5,2,5,5,3,5,1,1,1,,,1,1,,,,,34,1,1,5,5,3,1,2,1,1,77304,8,1,2,1,1,Montgomery,2,,,,,,,,,1,2,,,2,2,2,1,A3EYZHPGLUZA29,,,,-1,2017-11-03 08:26:41,
FS_27BvEBDROxYbIh8,,Anonymous,,,98.251.202.20,0,2017-11-02 21:08:05,2017-11-02 21:30:00,0,634511,1,2,3,3,3,4,4,1,3,2,5,2,2,3,1,5,5,3,4,5,5,1,1,,,,,1,,,1,,33,2,2,5,5,5,1,2,2,2,70068,10,1,2,1,1,St John the Baptist Parish,2,,,,,,,,,3,2,,,2,2,2,1,A33YYJMZWCB1F5,,,,-1,2017-11-02 21:30:00,
FS_2QPAgfVXTDqIUeN,,Anonymous,,,107.141.221.0,0,2017-11-02 12:37:26,2017-11-02 12:48:27,0,974753,1,1,3,2,2,2,2,1,5,3,2,5,5,2,1,5,5,5,5,5,4,1,1,,,,,,,,,1,29,2,4,3,2,5,1,2,2,1,77039,8,1,2,1,2,HARRIS,2,,,,,,,,,1,2,,,2,2,2,1,A2GV737IEPCLRG,,,,-1,2017-11-02 12:48:27,
FS_23UyxxK6dKofLii,,Anonymous,,,73.32.228.65,0,2017-11-01 19:46:12,2017-11-01 20:05:26,0,952931,1,3,4,3,3,2,2,1,3,3,2,5,3,5,1,5,5,3,3,4,4,1,1,1,,1,,1,,1,,,29,1,4,2,2,6,1,2,1,2,77545,8,1,1,1,2,fort bend,2,,,,,,,,,1,2,,,2,2,2,1,A3EWUG9YPE9ZYE,,,,-1,2017-11-01 20:05:26,
FS_2X4Aif7FI4zQ9kL,,Anonymous,,,198.208.159.18,0,2017-11-01 16:14:27,2017-11-01 16:21:48,0,180742,1,4,3,4,5,4,5,1,1,4,2,5,2,1,1,3,2,4,3,2,3,2,1,,,,1,1,,,,,42,2,1,4,5,3,1,2,2,1,77301,8,1,2,1,1,Montgomery,2,,,,,,,,,1,2,,,2,2,2,1,A10W2ZIIET53UU,,,,-1,2017-11-01 16:21:48,
FS_06Sa6IEpgn2w4Lv,,Anonymous,,,67.79.15.82,0,2017-11-01 15:53:49,2017-11-01 15:57:05,0,351878,1,2,2,3,2,2,2,1,2,1,3,3,1,3,1,4,4,3,2,4,4,2,2,,,,,,,,,1,33,1,4,4,3,1,2,2,2,1,78752,10,3,2,2,2,Travis,2,,,,,,,,,2,1,3,1,,,,1,A3P3361LWC96EK,,,,-1,2017-11-01 15:57:05,
FS_3GCeYH8CFaDL5lc,,Anonymous,,,97.99.149.231,0,2017-11-01 14:53:49,2017-11-01 15:03:06,0,425041,1,5,5,5,5,5,5,1,3,3,5,3,2,3,1,5,5,4,3,4,5,2,2,,,,1,1,,,1,,24,2,1,2,3,2,2,2,2,1,77028,6,3,2,2,2,Harris,3,,,,,,,,,2,1,2,1,,,,1,A30KRP5TGXBWGJ,,,,-1,2017-11-01 15:03:06,
FS_cYoBo6BMVCbhp9n,,Anonymous,,,76.185.19.165,0,2017-11-01 14:08:11,2017-11-01 14:11:31,0,303383,1,2,3,4,3,5,5,1,3,1,1,3,2,2,1,2,3,4,3,4,4,1,1,,,,,1,,,1,,33,1,1,4,2,1,2,2,2,2,75214,10,3,2,2,2,Dallas County,2,,,,,,,,,3,2,,,2,2,2,1,ATI2PYB30UTIY,,,,-1,2017-11-01 14:11:31,
FS_1n90cVTQvHWC55R,,Anonymous,,,155.201.35.130,0,2017-11-01 12:59:46,2017-11-01 13:01:34,0,455768,1,4,4,4,4,4,4,1,3,2,2,3,3,3,1,4,3,3,4,4,3,1,1,,,,,,,,1,,23,2,1,5,4,2,2,2,2,2,77007,6,3,2,2,1,harris,2,,,,,,,,,2,2,,,2,2,2,1,A2ERUVTDX27PN5,,,,-1,2017-11-01 13:01:34,
FS_1K0zxEmwjoa2Mkl,,Anonymous,,,24.242.109.119,0,2017-11-01 11:53:33,2017-11-01 11:58:46,0,397160,1,4,2,2,4,4,4,1,3,1,3,3,2,5,1,2,3,4,3,5,5,2,2,1,1,1,1,1,,,,,29,1,1,4,3,4,1,1,1,2,32003,8,2,2,2,2,Orange,1,1,1,,,,,,9,2,1,10,2,,,,1, A2YBQPB88R2M1B,,,,-1,2017-11-01 11:58:46,
